pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,pl_pubdate
HAT-P-68 b,HAT-P-68,2.29840551,5.2e-7,-5.2e-7,0,0.02996,0.00043,-0.00012,0,1.072,0.012,-0.012,0,0.724,0.043,-0.043,0,0.727,0.051,-0.051,0,0.041,,,1,1028,8,-8,0,4508.,43.,-43.,0,0.67,0.,0.,0,0.68,0.03,-0.01,0,-0.059,0.036,-0.036,0,[Fe/H],11.1,1.1,-6.9,0,3.165,0.187,-0.046,0,2021-02
WASP-81 b,WASP-81,2.7164762,2.3e-6,-2.3e-6,0,0.03908,0.0007,-0.00072,0,1.429,0.051,-0.046,0,0.729,0.036,-0.035,0,0.332,0.031,-0.031,0,0.066,,,1,1623,38,-37,0,5870.,120.,-120.,0,1.28,0.04,-0.04,0,1.08,0.06,-0.06,0,-0.36,0.14,-0.14,0,[Fe/H],,,,,0.723,0.042,-0.052,0,2017-05
CoRoT-4 b,CoRoT-4,9.20205,0.00037,-0.00037,0,0.0912,0.00126,-0.00131,0,1.16,0.116,-0.042,0,0.731,0.072,-0.074,0,0.583,0.084,-0.156,0,,,,,1058,42,-17,0,6190.,60.,-60.,0,1.15,0.09,-0.03,0,1.19,0.05,-0.05,0,0.05,0.07,-0.07,0,[Fe/H],0.8,2.7,-1.,0,1.11,0.09,-0.23,0,2011-11
Qatar-10 b,Qatar-10,1.645321,0.00001,-0.00001,0,0.0286,0.0006,-0.0006,0,1.543,0.04,-0.04,0,0.736,0.09,-0.09,0,0.248,0.036,-0.036,0,0.,,,0,1955,25,-25,0,6124.,46.,-46.,0,1.25,0.03,-0.03,0,1.16,0.07,-0.07,0,0.016,0.089,-0.089,0,[Fe/H],3.2,1.9,-1.9,0,0.823,0.062,-0.062,0,2019-06
NGTS-2 b,NGTS-2,4.511164,0.000061,-0.000061,0,0.063,0.0024,-0.003,0,1.595,0.047,-0.045,0,0.74,0.13,-0.12,0,0.226,0.04,-0.038,0,0.,,,0,1468,45,-42,0,6478.,94.,-89.,0,1.7,0.05,-0.04,0,1.64,0.19,-0.22,0,-0.06,0.09,-0.09,0,[Fe/H],2.17,0.37,-0.37,0,0.477,0.03,-0.061,0,2018-12
HAT-P-9 b,HAT-P-9,3.92281072,1.02e-6,-1.02e-6,0,0.05287,0.00078,-0.00078,0,1.393,0.067,-0.065,0,0.749,0.064,-0.063,0,0.342,0.057,-0.048,0,0.084,0.052,-0.047,0,1540,32,-30,0,6350.,150.,-150.,0,1.34,0.07,-0.06,0,1.28,0.06,-0.06,0,0.12,0.2,-0.2,0,[Fe/H],,,,,0.755,0.094,-0.088,0,2019-02
OGLE-TR-211 b,OGLE-TR-211,3.67724,0.00003,-0.00003,0,0.05105,0.00079,-0.00076,0,1.262,0.158,-0.091,0,0.75,0.15,-0.15,0,0.49476,0.15561,-0.17556,0,,,,,1686,90,-55,0,6325.,91.,-91.,0,1.56,0.18,-0.1,0,1.31,0.06,-0.06,0,0.11,0.1,-0.1,0,[Fe/H],2.6,0.7,-0.8,0,0.486,0.096,-0.127,0,2010-11
NGTS-15 b,NGTS-15,3.27623,0.00001,-0.00001,0,0.0441,0.0046,-0.0046,0,1.1,0.1,-0.1,0,0.751,0.102,-0.088,0,0.74,0.11,-0.1,0,0.,,,0,1146,47,-47,0,5600.,150.,-150.,0,0.95,0.08,-0.08,0,0.99,0.03,-0.03,0,0.15,0.1,-0.1,0,[Fe/H],3.28,4.23,-3.56,0,,,,,2021-03
HAT-P-54 b,HAT-P-54,3.799847,0.000014,-0.000014,0,0.04117,0.00043,-0.00043,0,0.944,0.028,-0.028,0,0.76,0.032,-0.032,0,1.118,0.098,-0.098,0,0.074,,,1,818,12,-12,0,4390.,50.,-50.,0,0.62,0.01,-0.01,0,0.65,0.02,-0.02,0,-0.127,0.08,-0.08,0,[Fe/H],3.9,4.3,-2.1,0,,,,,2015-04
HATS-54 b,HATS-54,2.5441828,4.3e-6,-4.3e-6,0,0.03763,0.00024,-0.00024,0,1.067,0.052,-0.052,0,0.76,0.1,-0.1,0,0.77,0.16,-0.16,0,0.126,,,1,1625,22,-22,0,5702.,26.,-26.,0,1.32,0.04,-0.04,0,1.1,0.02,-0.02,0,0.396,0.031,-0.031,0,[Fe/H],6.6,0.76,-0.76,0,0.678,0.054,-0.054,0,2019-08
HAT-P-62 b,HAT-P-62,2.6453235,3.9e-6,-3.9e-6,0,0.03772,0.00024,-0.00024,0,1.073,0.029,-0.029,0,0.761,0.088,-0.088,0,0.77,0.11,-0.11,0,0.101,,,1,1512,13,-13,0,5629.,48.,-48.,0,1.17,0.02,-0.02,0,1.02,0.02,-0.02,0,0.414,0.09,-0.09,0,[Fe/H],8.1,1.1,-1.1,0,0.901,0.042,-0.042,0,2021-07
TrES-1 b,TrES-1,3.0300728,6.e-7,-6.e-7,0,0.03946,0.00072,-0.00072,0,1.099,0.035,-0.035,0,0.761,0.051,-0.051,0,0.762,0.075,-0.075,0,,,,,1147,15,-15,0,5226.,50.,-50.,0,0.82,0.02,-0.02,0,0.89,0.05,-0.05,0,0.06,0.05,-0.05,0,[Fe/H],3.4,3.9,-4.2,0,2.299,0.13,-0.13,0,2010-11
NGTS-17 b,NGTS-17,3.24253,0.00001,-0.00001,0,0.0391,0.0043,-0.0043,0,1.24,0.11,-0.11,0,0.764,0.195,-0.164,0,0.5,0.27,-0.17,0,0.,,,0,1457,50,-50,0,5650.,100.,-100.,0,1.34,0.12,-0.12,0,1.02,0.03,-0.03,0,0.15,0.1,-0.1,0,[Fe/H],9.22,1.41,-1.4,0,,,,,2021-03
HAT-P-29 b,HAT-P-29,5.72339,0.000013,-0.000013,0,0.0665,0.0011,-0.0011,0,1.064,0.075,-0.068,0,0.767,0.047,-0.045,0,0.79,0.17,-0.14,0,0.075,0.029,-0.027,0,1271,39,-37,0,6115.,86.,-86.,0,1.24,0.08,-0.07,0,1.2,0.06,-0.06,0,0.128,0.079,-0.08,0,[Fe/H],,,,,0.89,0.15,-0.13,0,2018-10
HAT-P-66 b,HAT-P-66,2.972086,5.7e-6,-5.7e-6,0,0.04363,0.00121,-0.00064,0,1.59,0.16,-0.1,0,0.783,0.057,-0.057,0,0.242,0.045,-0.061,0,0.09,,,1,1896,66,-42,0,6002.,50.,-50.,0,1.88,0.15,-0.1,0,1.25,0.11,-0.05,0,0.035,0.08,-0.08,0,[Fe/H],4.66,0.52,-1.12,0,0.269,0.04,-0.04,0,2016-12
TOI-169 b,TOI-169,2.2554477,6.3e-6,-6.3e-6,0,0.03524,0.00069,-0.00079,0,1.086,0.081,-0.048,0,0.791,0.064,-0.06,0,0.76,0.14,-0.17,0,0.,,,0,1715,22,-20,0,5880.,54.,-49.,0,1.29,0.02,-0.02,0,1.15,0.07,-0.07,0,0.24,0.09,-0.09,0,[Fe/H],4.7,2.7,-2.,0,0.756,0.06,-0.061,0,2020-07
WASP-92 b,WASP-92,2.1746742,1.6e-6,-1.6e-6,0,0.0348,0.00036,-0.00036,0,1.461,0.077,-0.077,0,0.805,0.068,-0.068,0,0.346,0.059,-0.059,0,0.,,,0,1871,56,-56,0,6280.,120.,-120.,0,1.34,0.06,-0.06,0,1.19,0.04,-0.04,0,0.,0.14,-0.14,0,[Fe/H],2.29,6.8,-1.51,0,0.697,0.077,-0.077,0,2016-12
HATS-59 b,HATS-59,5.416081,0.000016,-0.000016,0,0.06112,0.00076,-0.00076,0,1.126,0.077,-0.077,0,0.806,0.069,-0.069,0,0.7,0.16,-0.16,0,0.129,0.049,-0.049,0,1128,40,-40,0,5670.,91.,-91.,0,1.04,0.07,-0.07,0,1.04,0.04,-0.04,0,0.18,0.064,-0.064,0,[Fe/H],4.3,2.3,-2.3,0,1.31,0.24,-0.24,0,2018-11
NGTS-1 b,NGTS-1,2.647298,0.00002,-0.00002,0,0.0326,0.0047,-0.0045,0,1.33,0.61,-0.33,0,0.812,0.066,-0.075,0,0.42,0.59,-0.28,0,0.016,0.023,-0.012,0,790,20,-20,0,3916.,71.,-63.,0,0.57,0.08,-0.08,0,0.62,0.02,-0.06,0,0.,,,0,[M/H],,,,,4.4,2.4,-1.4,0,2018-04
HAT-P-52 b,HAT-P-52,2.7535953,9.4e-6,-9.4e-6,0,0.03694,0.00038,-0.00038,0,1.009,0.072,-0.072,0,0.818,0.029,-0.029,0,0.98,0.21,-0.21,0,0.047,,,1,1218,37,-37,0,5131.,50.,-50.,0,0.89,0.05,-0.05,0,0.89,0.03,-0.03,0,0.28,0.08,-0.08,0,[Fe/H],9.4,4.1,-4.1,0,1.75,0.29,-0.29,0,2015-12
TOI-2158 b,TOI-2158,8.60077,0.00003,-0.00003,0,0.075,0.004,-0.004,0,0.96,0.012,-0.012,0,0.82,0.08,-0.08,0,1.14,0.12,-0.12,0,0.07,,,1,1188,10,-10,0,5673.,50.,-50.,0,1.41,0.03,-0.03,0,1.12,0.12,-0.12,0,0.47,0.08,-0.08,0,[Fe/H],8.,1.,-1.,0,0.56,0.07,-0.07,0,2022-04
TOI-2570 b,TOI-2570,2.9887615,2.2e-6,-2.2e-6,0,0.04145,0.00081,-0.00086,0,1.217,0.035,-0.034,0,0.82,0.063,-0.065,0,0.563,0.069,-0.063,0,0.,0.048,-0.052,0,1431,24,-23,0,5771.,89.,-87.,0,1.09,0.03,-0.03,0,1.06,0.06,-0.07,0,0.191,0.083,-0.083,0,[Fe/H],4.4,3.3,-2.6,0,1.138,0.1,-0.091,0,2022-08
HATS-65 b,HATS-65,3.105161,1.6e-6,-1.6e-6,0,0.04497,0.00033,-0.00033,0,1.501,0.05,-0.05,0,0.821,0.083,-0.083,0,0.3,0.039,-0.039,0,0.062,,,0,1634,18,-18,0,6277.,30.,-30.,0,1.31,0.03,-0.03,0,1.26,0.03,-0.03,0,0.199,0.055,-0.055,0,[Fe/H],1.78,0.55,-0.55,0,0.788,0.052,-0.052,0,2019-02
WASP-74 b,WASP-74,2.1377445,1.8e-6,-1.8e-6,0,0.03443,0.00036,-0.00036,0,1.404,0.022,-0.022,0,0.826,0.021,-0.021,0,0.3697,0.0133,-0.0133,0,,,,,1926,21,-21,0,5984.,57.,-57.,0,1.54,0.03,-0.03,0,1.19,0.04,-0.04,0,0.34,0.02,-0.02,0,[Fe/H],4.2,1.6,-2.,0,0.464,0.017,-0.017,0,2019-06
WASP-16 b,WASP-16,3.1186068,1.2e-6,-1.2e-6,0,0.0415,0.00077,-0.00077,0,1.218,0.04,-0.04,0,0.832,0.038,-0.038,0,0.572,0.044,-0.044,0,,,,,1389,24,-24,0,5630.,70.,-70.,0,1.09,0.04,-0.04,0,0.98,0.05,-0.05,0,0.07,0.1,-0.1,0,[Fe/H],8.6,3.4,-2.8,0,1.07,0.08,-0.08,0,2013-09
HATS-9 b,HATS-9,1.9153073,5.2e-6,-5.2e-6,0,0.03048,0.00038,-0.00038,0,1.065,0.098,-0.098,0,0.837,0.029,-0.029,0,0.85,0.19,-0.19,0,0.129,,,1,1823,52,-35,0,5366.,70.,-70.,0,1.5,0.1,-0.04,0,1.03,0.04,-0.04,0,0.34,0.05,-0.05,0,[Fe/H],10.8,1.5,-1.5,0,0.427,0.03,-0.07,0,2015-07
K2-107 b,K2-107,3.31392,0.00002,-0.00002,0,0.048,0.005,-0.005,0,1.44,0.15,-0.15,0,0.84,0.08,-0.08,0,0.35,0.1,-0.1,0,0.,,,0,1780,90,-90,0,6030.,120.,-120.,0,1.78,0.16,-0.16,0,1.3,0.14,-0.14,0,0.1,0.1,-0.1,0,[Fe/H],4.25,1.75,-1.75,0,0.33,0.05,-0.05,0,2017-03
Kepler-435 b,Kepler-435,8.6001536,1.8e-6,-1.8e-6,0,0.0948,0.0018,-0.0018,0,1.99,0.18,-0.18,0,0.84,0.15,-0.15,0,0.131,0.037,-0.037,0,0.114,0.077,-0.077,0,1729,70,-70,0,6161.,94.,-94.,0,3.21,0.3,-0.3,0,1.54,0.09,-0.09,0,-0.18,0.11,-0.11,0,[Fe/H],2.25,0.42,-0.42,0,0.066,0.015,-0.015,0,2015-03
WASP-142 b,WASP-142,2.052868,2.e-6,-2.e-6,0,0.0347,0.0007,-0.0007,0,1.53,0.08,-0.08,0,0.84,0.09,-0.09,0,0.31,0.07,-0.07,0,0.,,,0,2000,60,-60,0,6010.,140.,-140.,0,1.64,0.08,-0.08,0,1.33,0.08,-0.08,0,0.26,0.12,-0.12,0,[Fe/H],2.,,,1,0.42,0.06,-0.06,0,2017-03
